commodity,market,district,modal_price,arrival_date
Rice,Mumbai APMC,Mumbai,4500,09/12/2024
Wheat,Pune APMC,Pune,2800,09/12/2024
Sugar,Nashik Market,Nashik,3600,09/12/2024
Tur Dal,Nagpur APMC,Nagpur,9800,09/12/2024
Moong Dal,Mumbai APMC,Mumbai,8500,09/12/2024
Oil (Sunflower),Latur Market,Latur,11000,09/12/2024
Ghee,Pune APMC,Pune,45000,09/12/2024
Masala (Mix),Mumbai APMC,Mumbai,15000,09/12/2024
Besan,Nashik Market,Nashik,5500,09/12/2024
Rice (Basmati),Mumbai APMC,Mumbai,8500,09/12/2024
Poha,Pune APMC,Pune,3200,09/12/2024
Rava,Mumbai APMC,Mumbai,3400,09/12/2024
Groundnut,Latur Market,Latur,6500,09/12/2024
